
"KS206EW - Household language"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All people aged 16 and over in household have English as a main language (English or Welsh in Wales)","At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)","No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)","No people in household have English as a main language (English or Welsh in Wales)"

"E00014303","E00014303",60.2,18.4,7.1,14.3
"E00014307","E00014307",58.2,11.4,8.2,22.2
"E00014311","E00014311",64.6,9.1,4.0,22.2
"E00014312","E00014312",59.2,17.2,4.7,18.9
"E00175093","E00175093",73.3,10.0,3.3,13.3
"E00175094","E00175094",51.4,15.6,0.0,33.0
"E00175095","E00175095",57.4,13.9,15.7,13.0
"E00014316","E00014316",69.9,11.5,2.7,15.9
"E00014317","E00014317",57.7,19.6,6.2,16.5
"E00014318","E00014318",64.6,11.0,3.7,20.7
"E00014319","E00014319",58.1,18.9,8.1,14.9
"E00014320","E00014320",61.5,18.3,3.8,16.3
"E00014309","E00014309",63.2,16.7,9.8,10.3
"E00014314","E00014314",63.4,16.8,1.0,18.8
"E00014315","E00014315",61.5,3.1,3.1,32.3
"E00014321","E00014321",56.8,15.3,3.4,24.6
"E00014300","E00014300",74.7,9.3,3.1,12.9
"E00014301","E00014301",60.7,19.3,2.7,17.3
"E00014323","E00014323",71.2,13.5,3.1,12.3
"E00014324","E00014324",66.1,17.7,0.8,15.3
"E00014327","E00014327",72.2,11.3,2.3,14.3
"E00014304","E00014304",55.2,21.0,7.6,16.2
"E00014305","E00014305",60.7,22.4,1.9,15.0
"E00014308","E00014308",60.6,18.1,4.7,16.5
"E00014310","E00014310",60.5,12.3,5.3,21.9
"E00014313","E00014313",68.5,13.4,2.4,15.7
"E00014615","E00014615",52.8,15.0,11.0,21.3
"E00014620","E00014620",62.5,17.0,3.6,17.0
"E00014624","E00014624",70.1,11.3,7.2,11.3
"E00014629","E00014629",79.0,6.7,1.9,12.4
"E00014630","E00014630",74.7,7.2,7.2,10.8
"E00014621","E00014621",69.7,16.6,2.8,11.0
"E00014623","E00014623",74.4,16.0,3.2,6.4
"E00014626","E00014626",66.4,9.4,4.7,19.5
"E00014628","E00014628",67.4,9.6,4.4,18.5
"E00014634","E00014634",71.9,9.4,0.7,18.0
"E00014616","E00014616",70.9,10.2,0.8,18.1
"E00014622","E00014622",68.9,11.2,3.6,16.3
"E00014625","E00014625",62.0,23.0,1.0,14.0
"E00014633","E00014633",72.8,11.2,1.6,14.4
