
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"

"E00014303","E00014303",14.3,2.0,66.3,16.3,1.0
"E00014307","E00014307",8.9,1.3,76.6,12.7,0.6
"E00014311","E00014311",1.0,1.0,98.0,0.0,0.0
"E00014312","E00014312",27.2,8.9,53.3,10.7,0.0
"E00175093","E00175093",8.3,0.8,66.7,20.0,4.2
"E00175094","E00175094",0.9,2.8,23.9,72.5,0.0
"E00175095","E00175095",8.3,14.8,72.2,4.6,0.0
"E00014316","E00014316",12.4,1.8,36.3,46.9,2.7
"E00014317","E00014317",2.1,1.0,89.7,6.2,1.0
"E00014318","E00014318",0.0,0.0,97.6,1.2,1.2
"E00014319","E00014319",1.4,0.0,98.6,0.0,0.0
"E00014320","E00014320",1.0,0.0,95.2,2.9,1.0
"E00014309","E00014309",11.3,0.0,83.3,3.9,1.5
"E00014314","E00014314",18.8,2.0,69.3,9.9,0.0
"E00014315","E00014315",9.2,4.6,78.5,3.1,4.6
"E00014321","E00014321",16.1,2.5,61.9,17.8,1.7
"E00014300","E00014300",18.6,0.5,56.2,24.7,0.0
"E00014301","E00014301",16.0,2.7,77.3,4.0,0.0
"E00014323","E00014323",4.9,0.0,91.4,3.1,0.6
"E00014324","E00014324",16.1,1.6,65.3,15.3,1.6
"E00014327","E00014327",16.5,0.8,63.2,17.3,2.3
"E00014304","E00014304",1.9,0.0,97.1,1.0,0.0
"E00014305","E00014305",10.3,0.0,85.0,4.7,0.0
"E00014308","E00014308",11.0,0.0,81.9,6.3,0.8
"E00014310","E00014310",2.6,0.9,86.8,7.9,1.8
"E00014313","E00014313",7.9,0.0,85.0,4.7,2.4
"E00014615","E00014615",2.4,2.4,85.0,6.3,3.9
"E00014620","E00014620",0.9,3.6,89.3,6.2,0.0
"E00014624","E00014624",0.0,6.2,86.6,6.2,1.0
"E00014629","E00014629",1.0,0.0,96.2,1.9,1.0
"E00014630","E00014630",0.0,0.0,94.0,4.8,1.2
"E00014621","E00014621",22.8,11.0,53.8,10.3,2.1
"E00014623","E00014623",8.8,0.0,84.8,4.0,2.4
"E00014626","E00014626",10.2,1.6,78.9,8.6,0.8
"E00014628","E00014628",18.5,0.0,64.4,15.6,1.5
"E00014634","E00014634",20.9,0.7,59.7,15.8,2.9
"E00014616","E00014616",32.3,2.4,29.9,32.3,3.1
"E00014622","E00014622",28.6,7.1,42.9,19.9,1.5
"E00014625","E00014625",7.0,8.0,76.0,6.0,3.0
"E00014633","E00014633",24.8,16.8,40.0,16.8,1.6
"E00014636","E00014636",27.0,0.6,64.8,6.9,0.6
"E00014619","E00014619",0.0,0.9,94.4,1.9,2.8
"E00014627","E00014627",0.9,0.0,96.2,0.9,1.9
"E00014631","E00014631",1.4,0.7,91.5,5.6,0.7
"E00014632","E00014632",0.0,0.0,99.1,0.9,0.0
"E00014641","E00014641",16.0,0.0,66.7,8.6,8.6
"E00014450","E00014450",25.7,0.0,56.0,18.3,0.0
"E00014451","E00014451",36.9,3.1,27.7,32.3,0.0
"E00014452","E00014452",60.8,0.0,9.2,29.2,0.8
"E00014453","E00014453",16.8,0.0,50.4,32.8,0.0
"E00014456","E00014456",57.9,0.0,20.6,19.0,2.4
"E00014458","E00014458",68.5,0.0,15.4,16.2,0.0
"E00014445","E00014445",7.3,0.8,84.7,5.6,1.6
"E00014446","E00014446",10.5,0.0,83.3,6.1,0.0
"E00014460","E00014460",44.0,1.2,35.1,17.9,1.8
"E00014462","E00014462",13.4,0.0,71.7,10.2,4.7
"E00014465","E00014465",7.9,8.8,81.6,0.9,0.9
"E00014454","E00014454",27.2,0.7,41.5,29.3,1.4
"E00014455","E00014455",45.4,3.1,27.0,22.4,2.0
"E00014457","E00014457",28.1,3.4,43.2,24.0,1.4
"E00014459","E00014459",21.0,2.4,54.8,18.5,3.2
"E00014463","E00014463",16.2,4.3,65.0,12.0,2.6
"E00014464","E00014464",55.8,3.6,21.0,18.8,0.7
"E00014635","E00014635",26.2,5.8,58.3,7.8,1.9
"E00014637","E00014637",40.5,0.0,9.2,48.9,1.5
"E00014638","E00014638",36.3,1.6,50.0,11.3,0.8
"E00014640","E00014640",53.2,1.6,15.3,29.8,0.0
"E00014643","E00014643",41.7,5.8,18.3,33.3,0.8
"E00014614","E00014614",21.2,3.8,53.8,21.2,0.0
"E00014617","E00014617",33.0,0.0,35.2,29.6,2.2
"E00014618","E00014618",21.1,1.4,57.1,19.0,1.4
"E00014639","E00014639",44.3,2.0,34.8,17.9,1.0
"E00014642","E00014642",27.8,3.4,39.0,29.3,0.5
"E00014644","E00014644",21.2,2.9,51.0,22.6,2.4
"E00014163","E00014163",22.5,1.4,54.2,20.4,1.4
"E00014168","E00014168",26.9,0.0,44.1,29.0,0.0
"E00014170","E00014170",23.9,0.0,50.5,24.8,0.9
"E00014171","E00014171",7.2,1.4,69.6,20.3,1.4
